05/14/26-14:09:38.020133 ,1,1000003,1,"LAB HTTP Connection Attempt from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4259,,0,alert,Allow
05/14/26-14:09:38.838847 ,1,1000005,1,"LAB TCP Traffic from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4260,,0,alert,Allow
05/14/26-14:09:38.838847 ,1,1000003,1,"LAB HTTP Connection Attempt from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4260,,0,alert,Allow
05/14/26-14:09:38.839435 ,1,1000005,1,"LAB TCP Traffic from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4261,,0,alert,Allow
05/14/26-14:09:38.839435 ,1,1000003,1,"LAB HTTP Connection Attempt from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4261,,0,alert,Allow
05/14/26-14:09:38.856158 ,1,1000005,1,"LAB TCP Traffic from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4262,,0,alert,Allow
05/14/26-14:09:38.856158 ,1,1000003,1,"LAB HTTP Connection Attempt from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4262,,0,alert,Allow
05/14/26-14:09:38.857630 ,1,1000005,1,"LAB TCP Traffic from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4263,,0,alert,Allow
05/14/26-14:09:38.857630 ,1,1000003,1,"LAB HTTP Connection Attempt from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4263,,0,alert,Allow
05/14/26-14:09:38.859121 ,1,1000005,1,"LAB TCP Traffic from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4264,,0,alert,Allow
05/14/26-14:09:38.859121 ,1,1000003,1,"LAB HTTP Connection Attempt from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4264,,0,alert,Allow
05/14/26-14:09:38.875480 ,1,1000005,1,"LAB TCP Traffic from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4265,,0,alert,Allow
05/14/26-14:09:38.875480 ,1,1000003,1,"LAB HTTP Connection Attempt from Kali to Metasploitable2",TCP,172.30.2.100,60858,172.30.2.101,80,4265,,0,alert,Allow
05/14/26-14:10:17.846091 ,1,1000005,1,"LAB TCP Traffic from Kali to Metasploitable2",TCP,172.30.2.100,51836,172.30.2.101,21,8275,,0,alert,Allow
05/14/26-14:10:17.846091 ,1,1000004,1,"LAB FTP Connection Attempt from Kali to Metasploitable2",TCP,172.30.2.100,51836,172.30.2.101,21,8275,,0,alert,Allow
05/14/26-14:10:17.846157 ,1,1000005,1,"LAB TCP Traffic from Kali to Metasploitable2",TCP,172.30.2.100,51836,172.30.2.101,21,8276,,0,alert,Allow
